VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.600000111,34613.0,1220498.8699999643,123025.22583770752,63598.359701514244,68601.68000000001,-2590752.7300001467,-212.26998186407354,0.2385787151916184,0.32023571206895096
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.2199999536,35774.0,1051222.2599999812,101761.47999572754,65731.69949281216,144929.24,-2752818.9599999725,-261.86840449897073,0.21808361477218693,0.2763435512930625
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.680000034,37773.0,894731.7699999822,82569.63920211792,69404.9095275402,123780.21999999997,-2523571.910000052,-282.0478711737376,0.20155597176199394,0.26174730327060153
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94000002,60211.0,1275752.8899999817,76734.84917259216,110634.68926084042,257032.07000000007,-1985445.0500000382,-155.62928099657816,0.29854424291706744,0.3911914926574417
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.0099999965,33521.0,1013228.789999978,102078.279296875,61592.03979599476,257032.07000000007,-2009977.2200000184,-198.37348087987726,0.24271408814776735,0.33515042860078836
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.930000039,32494.0,769306.0599999789,82528.71920394897,25585.790109097958,89286.26999999999,-1697329.87000006,-220.63128815079222,0.23409144940169585,0.3118847214716307
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.0800000825,25790.0,983014.0999999758,116765.4651260376,47386.789917230606,123780.21999999997,-1194270.9800001066,-121.4907273456338,0.36435302261842534,0.4514861691882528
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.8399999859,33855.0,576572.4499999936,46565.71937561035,62206.17964947224,257032.07000000007,-1511762.3899999922,-262.1981660760949,0.20977656054428512,0.2760919556367682
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.5499999446,17420.0,491495.7999999896,91093.71926116943,32006.339898228645,257032.07000000007,-1412243.749999955,-287.3358734703297,0.18968802744051833,0.25817386627283334
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.139999997,27985.0,594117.1499999911,75468.47918701172,51419.36959528923,123880.96999999999,-1179309.990000006,-198.49788715912743,0.257059136920618,0.335010746480395
